Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Oil & Gas Refining & Marketing,Energy,133.07,98,98,75,96,"PBF,DK,VLO,MPC,UGP,CVI,PSX,PARR,NGL,SUN,REX,CAPL,AMTX,VVV,CLNE"
2,Electronics & Computer Distribution,Technology,130.41,98,91,91,63,"AVT,ARW,CNXN,SCSC"
3,Copper,Basic Materials,128.31,97,99,86,93,"ERO,SCCO,HBM,FCX"
4,Semiconductor Equipment & Materials,Technology,127.12,97,99,99,99,"AXTI,AEHR,TRT,COHU,ICHR,UCTT,TER,ACMR,KLIC,LRCX,AMAT,ASML,ENTG,KLAC,ASYS,VECO,CAMT,ACLS,AMBA,ATOM,PLAB,NVMI,XPER,IPGP,OLED,DQ"
5,Semiconductors,Technology,126.37,96,94,99,88,"MXL,MU,INTC,AMD,MRVL,UMC,ASX,SIMO,IMOS,SMTC,FORM,AAOI,TSEM,NVEC,VSH,MRAM,SITM,STM,ONTO,HIMX,LEDS,SWKS,DIOD,QRVO,TSM,MTSI,TXN,SLAB,LSCC,CEVA,NVDA,ADI,MPWR,QUIK,QCOM,VLN,PXLW,WOLF,AMKR,SYNA,ON,MCHP,INTT,AVGO,GSIT,NXPI,POWI,RMBS,AOSL,ALGM,MX,CRUS,WKEY,LASR,SQNS"
6,Marine Shipping,Industrials,125.99,95,97,80,90,"EDRY,GLBS,PXS,NAT,INSW,SHIP,SB,MATX,NMM,DSX,SBLK,DAC,ZIM,SFL,ASC,GNK,GSL,SMHI,PANL,GASS,ESEA,KEX,KNOP,CTRM,CMRE,PSHG,TOPS"
7,Oil & Gas Integrated,Energy,118.24,95,88,50,94,"SSL,EQNR,CVE,PBR,EC,YPF,SU,E,TTE,XOM,CVX,BP,IMO,SLNG,NFG,TGS"
8,Computer Hardware,Technology,118.18,94,94,94,58,"QMCO,DELL,STX,WDC,CRSR,NTAP,DDD,HPQ,ANET,SMCI,CRCT,TACT,LOGI,NNDM,OSS,SSYS,CAN,QUBT,DAKT,IONQ,EBON,KTCC,INVE,SCKT"
9,Diagnostics & Research,Healthcare,117.14,93,90,72,54,"TWST,BDSX,CDNA,STIM,PSNL,GH,ILMN,XGN,NEO,NTRA,NEOG,BVS,SENS,CRL,IQV,CSTL,LNTH,BNR,TMO,NDRA,A,BNGO,DXCM,OPK,BMRA,WAT,DGX,MEDP,NRC,MTD,LH,SHC,DHR,RDNT,ICLR,PRPO,VIVO,QGEN,STRRP,FLGT,MXCT,PACB,STRR,CELC,ANIX,PHG,DRIO,SERA,IDXX,MYGN,QDEL,TRIB,CODX,VNRX"
10,Staffing & Employment Services,Industrials,116.64,93,98,62,14,"TBI,MAN,HQI,DHX,KELYB,KELYA,KFRC,NSP,RHI,TNET,JOB,ADP,KFY,ZIP,PAYX,MHH,BBSI,BZ,BGSF,UPWK"
