Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,OPTT,Industrials,Electrical Equipment & Parts,NYSE MKT,572.12,99,2,5,33
2,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,434.87,99,99,99,99
3,IPDN,Industrials,Staffing & Employment Services,NASDAQ,398.11,99,0,1,5
4,MRNA,Healthcare,Biotechnology,NASDAQ,368.49,99,99,95,95
5,EDRY,Industrials,Marine Shipping,NASDAQ,352.87,99,99,90,93
6,TXG,Healthcare,Health Information Services,NASDAQ,347.84,99,99,97,94
7,TWST,Healthcare,Diagnostics & Research,NASDAQ,323.42,99,99,98,88
8,AGL,Healthcare,Medical Care Facilities,NYSE,313.18,99,99,99,1
9,IGR,Financial Services,Asset Management,NYSE,304.96,99,78,73,68
10,MXL,Technology,Semiconductors,NASDAQ,298.75,99,99,99,73
11,IOVA,Healthcare,Biotechnology,NASDAQ,293.88,99,99,91,88
12,SLS,Healthcare,Biotechnology,NASDAQ,287.77,99,99,99,97
13,MU,Technology,Semiconductors,NASDAQ,265.22,99,99,99,97
14,QMCO,Technology,Computer Hardware,NASDAQ,263.91,99,99,93,5
15,DELL,Technology,Computer Hardware,NYSE,263.35,99,99,98,86
16,MTC,Technology,Software—Application,NASDAQ,262.32,99,90,75,99
17,ABCL,Healthcare,Biotechnology,NASDAQ,251.84,99,99,95,57
18,OESX,Industrials,Electrical Equipment & Parts,NASDAQ,240.38,99,98,68,39
19,CDNA,Healthcare,Diagnostics & Research,NASDAQ,239.51,99,99,91,42
20,RCEL,Healthcare,Medical Devices,NASDAQ,236.08,99,98,25,20
21,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,234.71,99,99,91,88
22,BDSX,Healthcare,Diagnostics & Research,NASDAQ,232.98,99,99,98,96
23,BBGI,Communication Services,Broadcasting,NASDAQ,223.87,99,99,99,11
24,AGEN,Healthcare,Biotechnology,NASDAQ,218.34,99,98,15,73
25,INTC,Technology,Semiconductors,NASDAQ,216.17,99,97,99,90
26,MNOV,Healthcare,Biotechnology,NASDAQ,215.61,99,57,33,54
27,AMD,Technology,Semiconductors,NASDAQ,215.21,99,95,98,83
28,ETON,Healthcare,Biotechnology,NASDAQ,214.34,99,99,94,91
29,BAND,Technology,Software—Infrastructure,NASDAQ,214.17,99,98,99,72
30,LIFE,Healthcare,Biotechnology,NASDAQ,213.04,99,98,86,10
31,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,212.22,99,99,99,98
32,LITE,Technology,Communication Equipment,NASDAQ,210.21,99,99,99,99
33,ABSI,Healthcare,Biotechnology,NASDAQ,209.27,99,99,99,48
34,ATEX,Communication Services,Telecom Services,NASDAQ,207.67,99,99,98,91
35,CPIX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,206.51,99,99,96,27
36,VNCE,Consumer Cyclical,Apparel Manufacturing,NASDAQ,206.3,99,98,99,39
37,OMER,Healthcare,Biotechnology,NASDAQ,205.18,99,98,82,94
38,CLMT,Energy,Oil & Gas E&P,NASDAQ,204.88,99,97,90,97
39,RNG,Technology,Software—Application,NYSE,204.02,99,97,63,83
40,UMC,Technology,Semiconductors,NYSE,203.91,99,96,98,74
41,SILC,Technology,Communication Equipment,NASDAQ,201.49,98,97,96,86
42,PAYS,Industrials,Specialty Business Services,NASDAQ,199.2,98,99,84,85
43,MRVL,Technology,Semiconductors,NASDAQ,197.92,98,98,98,81
44,RVMD,Healthcare,Biotechnology,NASDAQ,196.97,98,99,98,96
45,APPS,Technology,Softwareâ€”Application,NASDAQ,194.65,98,99,98,8
46,ASX,Technology,Semiconductors,NYSE,193.38,98,97,98,95
47,RXT,Technology,Software—Infrastructure,NASDAQ,192.4,98,95,99,20
48,CUE,Healthcare,Biotechnology,NASDAQ,190.71,98,90,97,3
49,STX,Technology,Computer Hardware,NASDAQ,189.73,98,99,99,98
50,DOCN,Technology,Software—Infrastructure,NYSE,189.22,98,96,98,98
51,CMPS,Healthcare,Medical Care Facilities,NASDAQ,188.44,98,97,98,80
52,PRLD,Healthcare,Biotechnology,NASDAQ,187.75,98,99,97,98
53,IBRX,Healthcare,Biotechnology,NASDAQ,187.32,98,97,97,99
54,CPOP,Communication Services,Advertising Agencies,NASDAQ,187.18,98,0,0,5
55,AMWL,Healthcare,Health Information Services,NYSE,185.64,98,97,91,26
56,ACHV,Healthcare,Biotechnology,NASDAQ,185.05,98,97,94,32
57,PBF,Energy,Oil & Gas Refining & Marketing,NYSE,183.12,98,98,79,96
58,RLYB,Healthcare,Biotechnology,NASDAQ,182.29,98,98,98,97
59,PRAX,Healthcare,Biotechnology,NASDAQ,181.89,98,99,99,99
60,SIF,Industrials,Aerospace & Defense,NYSE MKT,181.81,98,97,99,99
61,HPE,Technology,Communication Equipment,NYSE,181.28,98,98,95,70
62,FSLY,Technology,Software—Application,NASDAQ,180.16,98,96,86,99
63,RLAY,Healthcare,Biotechnology,NASDAQ,179.93,98,99,98,97
64,BFLY,Healthcare,Medical Devices,NYSE,178.77,98,99,98,92
65,TEAM,Technology,Software—Application,NASDAQ,178.38,98,95,11,2
66,ENTX,Healthcare,Biotechnology,NASDAQ,178.29,98,98,51,6
67,EVC,Communication Services,Broadcasting,NYSE,178.26,98,98,99,79
68,ECOR,Healthcare,Medical Devices,NASDAQ,178.16,98,89,86,72
69,GLBS,Industrials,Marine Shipping,NASDAQ,177.76,98,99,94,94
